Symposium	Count	SexRatioTotal	Symposium	Men	SexRatioInvited	Symposium	Count	Men2
Sy01	55	0.454545455	Sy01	30	0	Sy01	3	3
Sy02	45	0.4	Sy02	27	0	Sy02	2	2
Sy03	19	0.210526316	Sy03	15	0	Sy03	3	3
Sy04	20	0.5	Sy04	10	0	Sy04	2	2
Sy05	30	0.4	Sy05	18	0	Sy05	2	2
Sy06	46	0.52173913	Sy06	22	0.5	Sy06	4	2
Sy07	10	0.3	Sy07	7	0	Sy07	2	2
Sy08	27	0.444444444	Sy08	15	1	Sy08	2	0
Sy09	14	0.714285714	Sy09	4	0	Sy09	2	2
Sy10	11	0.181818182	Sy10	9	0	Sy10	2	2
Sy11	21	0.428571429	Sy11	12	0	Sy11	2	2
Sy12	8	0.5	Sy12	4	0	Sy12	2	2
Sy13	14	0.428571429	Sy13	8	0	Sy13	2	2
Sy14	39	0.512820513	Sy14	19	0	Sy14	2	2
Sy15	19	0.315789474	Sy15	13	0	Sy15	1	1
Sy16	8	0.625	Sy16	3	0	Sy16	2	2
Sy17	13	0.307692308	Sy17	9	0.5	Sy17	2	1
Sy18	14	0.285714286	Sy18	10	0	Sy18	2	2
Sy19	6	0.166666667	Sy19	5	0	Sy19	2	2
Sy20	14	0.357142857	Sy20	9	0.5	Sy20	2	1
Sy21	88	0.545454545	Sy21	40	0	Sy21	2	2
Sy22	28	0.464285714	Sy22	15	0.5	Sy22	2	1
Sy23	59	0.457627119	Sy23	32	0	Sy23	2	2
Sy24	16	0.375	Sy24	10	0	Sy24	2	2
Sy25	18	0.388888889	Sy25	11	0.5	Sy25	2	1
Sy26	28	0.535714286	Sy26	13	0.5	Sy26	2	1
Sy27	18	0.333333333	Sy27	12	0	Sy27	2	2
Sy28	22	0.363636364	Sy28	14	0	Sy28	2	2
Sy29	13	0.538461538	Sy29	6	0.5	Sy29	2	1
Sy30	68	0.5	Sy30	34	0	Sy31	4	4
Sy31	4	0	Sy31	4	NA	NA	NA	NA
Sy32	174	0.505747126	Sy32	86	NA	NA	NA	NA
