ID,Year,Org_nb,Org_W,Inv_nb,Inv_W,Include,Comments,Source
ESEB_2001_01,2001,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2001_02,2001,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2001_03,2001,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2001_04,2001,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2001_05,2001,NA,NA,2,3,TRUE,,Schroeder-etal_2013
ESEB_2001_06,2001,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2001_07,2001,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2001_08,2001,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2001_09,2001,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2001_10,2001,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2001_11,2001,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2001_12,2001,NA,NA,1,3,TRUE,,Schroeder-etal_2013
ESEB_2001_13,2001,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2001_14,2001,NA,NA,2,3,TRUE,,Schroeder-etal_2013
ESEB_2001_15,2001,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2001_16,2001,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2001_17,2001,NA,NA,2,3,TRUE,,Schroeder-etal_2013
ESEB_2001_18,2001,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2001_19,2001,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2001_20,2001,NA,NA,1,3,TRUE,,Schroeder-etal_2013
ESEB_2001_21,2001,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2001_22,2001,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2001_23,2001,NA,NA,1,3,TRUE,,Schroeder-etal_2013
ESEB_2001_24,2001,NA,NA,1,3,TRUE,,Schroeder-etal_2013
ESEB_2001_25,2001,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2003_01,2003,NA,NA,1,4,TRUE,,Schroeder-etal_2013
ESEB_2003_02,2003,NA,NA,NA,NA,FALSE,missing data,Schroeder-etal_2013
ESEB_2003_03,2003,NA,NA,NA,NA,FALSE,missing data,Schroeder-etal_2013
ESEB_2003_04,2003,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2003_05,2003,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2003_06,2003,NA,NA,1,3,TRUE,,Schroeder-etal_2013
ESEB_2003_07,2003,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2003_08,2003,NA,NA,NA,NA,FALSE,missing data,Schroeder-etal_2013
ESEB_2003_09,2003,NA,NA,1,3,TRUE,,Schroeder-etal_2013
ESEB_2003_10,2003,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2003_11,2003,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2003_12,2003,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2003_13,2003,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2003_14,2003,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2003_15,2003,NA,NA,1,2,TRUE,,Schroeder-etal_2013
ESEB_2003_16,2003,NA,NA,NA,NA,FALSE,missing data,Schroeder-etal_2013
ESEB_2003_17,2003,NA,NA,1,2,TRUE,,Schroeder-etal_2013
ESEB_2003_18,2003,NA,NA,1,2,TRUE,,Schroeder-etal_2013
ESEB_2003_19,2003,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2003_20,2003,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2003_21,2003,NA,NA,1,2,TRUE,,Schroeder-etal_2013
ESEB_2003_22,2003,NA,NA,NA,NA,FALSE,missing data,Schroeder-etal_2013
ESEB_2003_23,2003,NA,NA,NA,NA,FALSE,missing data,Schroeder-etal_2013
ESEB_2003_24,2003,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2003_25,2003,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2003_26,2003,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2003_27,2003,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2003_28,2003,NA,NA,1,2,TRUE,,Schroeder-etal_2013
ESEB_2005_01,2005,NA,NA,0,9,TRUE,,Schroeder-etal_2013
ESEB_2005_02,2005,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2005_03,2005,NA,NA,1,4,TRUE,,Schroeder-etal_2013
ESEB_2005_04,2005,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2005_05,2005,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2005_06,2005,NA,NA,2,3,TRUE,,Schroeder-etal_2013
ESEB_2005_07,2005,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2005_08,2005,NA,NA,1,2,TRUE,,Schroeder-etal_2013
ESEB_2005_09,2005,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2005_10,2005,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2005_11,2005,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2005_12,2005,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2005_13,2005,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2005_14,2005,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2005_15,2005,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2005_16,2005,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2005_17,2005,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2005_18,2005,NA,NA,1,2,TRUE,,Schroeder-etal_2013
ESEB_2005_19,2005,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2005_20,2005,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2005_21,2005,NA,NA,0,4,TRUE,,Schroeder-etal_2013
ESEB_2005_22,2005,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2005_23,2005,NA,NA,0,4,TRUE,,Schroeder-etal_2013
ESEB_2005_24,2005,NA,NA,1,4,TRUE,,Schroeder-etal_2013
ESEB_2005_25,2005,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2005_26,2005,NA,NA,1,3,TRUE,,Schroeder-etal_2013
ESEB_2005_27,2005,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2005_28,2005,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2007_01,2007,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2007_02,2007,NA,NA,0,3,TRUE,,Schroeder-etal_2013
ESEB_2007_03,2007,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2007_04,2007,NA,NA,3,3,TRUE,,Schroeder-etal_2013
ESEB_2007_05,2007,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2007_06,2007,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2007_07,2007,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2007_08,2007,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2007_09,2007,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2007_10,2007,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2007_11,2007,NA,NA,2,2,TRUE,,Schroeder-etal_2013
ESEB_2007_12,2007,NA,NA,1,3,TRUE,,Schroeder-etal_2013
ESEB_2007_13,2007,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2007_14,2007,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2007_15,2007,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2007_16,2007,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2007_17,2007,NA,NA,2,2,TRUE,,Schroeder-etal_2013
ESEB_2007_18,2007,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2007_19,2007,NA,NA,1,2,TRUE,,Schroeder-etal_2013
ESEB_2007_20,2007,NA,NA,1,2,TRUE,,Schroeder-etal_2013
ESEB_2007_21,2007,NA,NA,0,2,TRUE,,Schroeder-etal_2013
ESEB_2007_22,2007,NA,NA,1,2,TRUE,,Schroeder-etal_2013
