ID,Congress,Org_nb,Org_W,Inv_nb,Inv_W,Include,Comments,rOrg,rInv,,
ESEB2013_S16,ESEB2013,2,0,NA,NA,FALSE,no invited speakers,0,NA,,
ESEB2013_S34,ESEB2013,NA,NA,NA,NA,FALSE,General symposium,NA,NA,,
ESEB2013_S1,ESEB2013,2,0,2,0,TRUE,,0,0,,
ESEB2013_S2,ESEB2013,2,1,3,2,TRUE,,0.5,0.6666666667,,
ESEB2013_S3,ESEB2013,2,1,2,1,TRUE,,0.5,0.5,,
ESEB2013_S4,ESEB2013,4,2,2,0,TRUE,,0.5,0,,
ESEB2013_S5,ESEB2013,2,2,2,1,TRUE,,1,0.5,,
ESEB2013_S6,ESEB2013,2,0,2,0,TRUE,,0,0,,
ESEB2013_S7,ESEB2013,2,1,2,1,TRUE,,0.5,0.5,,
ESEB2013_S8,ESEB2013,2,0,3,1,TRUE,,0,0.3333333333,,
ESEB2013_S9,ESEB2013,2,0,2,1,TRUE,,0,0.5,,
ESEB2013_S10,ESEB2013,2,0,2,0,TRUE,,0,0,,
ESEB2013_S11,ESEB2013,2,0,2,0,TRUE,,0,0,,
ESEB2013_S12,ESEB2013,2,0,3,0,TRUE,,0,0,,
ESEB2013_S13,ESEB2013,2,0,3,1,TRUE,,0,0.3333333333,,
ESEB2013_S14,ESEB2013,2,1,2,0,TRUE,,0.5,0,,
ESEB2013_S15,ESEB2013,2,1,2,1,TRUE,,0.5,0.5,,
ESEB2013_S17,ESEB2013,2,0,2,1,TRUE,,0,0.5,,
ESEB2013_S18,ESEB2013,2,1,2,1,TRUE,,0.5,0.5,,
ESEB2013_S19,ESEB2013,2,1,3,1,TRUE,,0.5,0.3333333333,,
ESEB2013_S20,ESEB2013,2,0,2,0,TRUE,,0,0,,
ESEB2013_S21,ESEB2013,2,1,2,1,TRUE,,0.5,0.5,,
ESEB2013_S22,ESEB2013,4,2,2,1,TRUE,,0.5,0.5,,
ESEB2013_S23,ESEB2013,6,2,3,0,TRUE,,0.3333333333,0,,
ESEB2013_S24,ESEB2013,2,1,2,0,TRUE,,0.5,0,,
ESEB2013_S25,ESEB2013,2,0,2,1,TRUE,,0,0.5,,
ESEB2013_S26,ESEB2013,1,0,3,0,TRUE,,0,0,,
